index,blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,lat,lng,building,addr,postal,SUBZONE_NO,SUBZONE_N,SUBZONE_C,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C
5317,332,ANG MO KIO AVE 1,11,1980,Y,Y,N,N,N,N,AMK,168,0,0,146,20,0,1,0,0,0,0,1,0,1.361670308,103.8519555,TECK GHEE VIEW,332 ANG MO KIO AVENUE 1 TECK GHEE VIEW SINGAPORE 560332,560332,4,TOWNSVILLE,AMSZ04,ANG MO KIO,AM,NORTH-EAST REGION,NER
5318,332,BT BATOK ST 32,4,1985,Y,N,N,N,N,N,BB,32,0,0,24,8,0,0,0,0,0,0,0,0,1.363759683,103.748198,NIL,332 BUKIT BATOK STREET 32 SINGAPORE 650332,650332,2,HONG KAH NORTH,BKSZ02,BUKIT BATOK,BK,WEST REGION,WR
5319,332,CLEMENTI AVE 2,14,1977,Y,N,N,Y,N,N,CL,130,0,0,0,130,0,0,0,0,0,0,0,0,1.314740295,103.7674876,NIL,332 CLEMENTI AVENUE 2 SINGAPORE 120332,120332,4,CLEMENTI NORTH,CLSZ04,CLEMENTI,CL,WEST REGION,WR
5320,332,HOUGANG AVE 5,13,1982,Y,Y,N,Y,N,N,HG,120,0,0,0,120,0,0,0,0,0,0,0,0,1.368405832,103.8978204,NIL,332 HOUGANG AVENUE 5 SINGAPORE 530332,530332,2,KANGKAR,HGSZ02,HOUGANG,HG,NORTH-EAST REGION,NER
5321,332,JURONG EAST AVE 1,13,1984,Y,N,N,N,N,N,JE,124,0,0,0,76,48,0,0,0,0,0,0,0,1.351591239,103.7301961,NIL,332 JURONG EAST AVENUE 1 SINGAPORE 600332,600332,1,YUHUA WEST,JESZ01,JURONG EAST,JE,WEST REGION,WR
5322,332,SEMBAWANG CL,16,1998,Y,N,N,N,N,N,SB,107,0,0,0,31,31,45,0,0,0,0,0,0,1.446701271,103.8170446,NIL,332 SEMBAWANG CLOSE SINGAPORE 750332,750332,3,SEMBAWANG CENTRAL,SBSZ03,SEMBAWANG,SB,NORTH REGION,NR
5323,332,SERANGOON AVE 3,12,1985,Y,Y,N,N,N,N,SGN,138,0,0,0,138,0,0,0,0,0,0,0,0,1.351017195,103.8701851,NIL,332 SERANGOON AVENUE 3 SINGAPORE 550332,550332,6,SERANGOON CENTRAL,SGSZ06,SERANGOON,SG,NORTH-EAST REGION,NER
5324,332,TAMPINES ST 32,10,1994,Y,N,N,N,N,N,TAP,54,0,0,0,0,0,54,0,0,0,0,0,0,1.353167938,103.9606887,NIL,332 TAMPINES STREET 32 SINGAPORE 520332,520332,2,TAMPINES EAST,TMSZ02,TAMPINES,TM,EAST REGION,ER
5325,332,TAH CHING RD,13,1995,Y,Y,N,N,N,N,JW,53,0,0,0,0,0,53,0,0,0,0,0,0,1.338294537,103.7238171,HDB PUBLIC SHELTERS,332 TAH CHING ROAD HDB PUBLIC SHELTERS SINGAPORE 610332,610332,4,TAMAN JURONG,JWSZ04,JURONG WEST,JW,WEST REGION,WR
5326,332,UBI AVE 1,4,1985,Y,N,N,N,N,N,GL,8,0,0,0,0,0,8,0,0,0,0,0,0,1.326913667,103.9026231,KAMPONG UBI VIEW,332 UBI AVENUE 1 KAMPONG UBI VIEW SINGAPORE 400332,400332,3,KAMPONG UBI,GLSZ03,GEYLANG,GL,CENTRAL REGION,CR
